"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"4717","14q","7q",0,2,NA,"PAEN","8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4718","10p","17q",0,4,NA,"PAEN","48b15122-b1e9-4c30-8fc5-70a07686779a.rds 5174f450-0bf7-4237-a53e-844064f0e701.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4719","16p","17q",0,4,NA,"PAEN","48b15122-b1e9-4c30-8fc5-70a07686779a.rds 5174f450-0bf7-4237-a53e-844064f0e701.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4720","11p","17q",0,5,NA,"PAEN","3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1.rds 48b15122-b1e9-4c30-8fc5-70a07686779a.rds 5174f450-0bf7-4237-a53e-844064f0e701.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4721","13whole","17q",0,3,NA,"PAEN","7243992d-0763-4b75-8066-e8e5309d0193.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4722","15q","17q",0,2,NA,"PAEN","8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4723","17p","17q",0,3,NA,"PAEN","8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4724","10q","17q",0,2,NA,"PAEN","7243992d-0763-4b75-8066-e8e5309d0193.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4725","12p","17q",0,7,NA,"PAEN","3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1.rds 48b15122-b1e9-4c30-8fc5-70a07686779a.rds 5174f450-0bf7-4237-a53e-844064f0e701.rds 7243992d-0763-4b75-8066-e8e5309d0193.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4726","16q","17q",0,3,NA,"PAEN","5174f450-0bf7-4237-a53e-844064f0e701.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4727","1p","17q",0,2,NA,"PAEN","48b15122-b1e9-4c30-8fc5-70a07686779a.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4728","14whole","17q",0,3,NA,"PAEN","48b15122-b1e9-4c30-8fc5-70a07686779a.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4729","12q","17q",0,7,NA,"PAEN","3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1.rds 48b15122-b1e9-4c30-8fc5-70a07686779a.rds 5174f450-0bf7-4237-a53e-844064f0e701.rds 7243992d-0763-4b75-8066-e8e5309d0193.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds a4beedc3-0e96-4e1c-90b4-3674dfc01786.rds"
"4730","1q","17q",0,2,NA,"PAEN","5174f450-0bf7-4237-a53e-844064f0e701.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4731","11q","17q",0,3,NA,"PAEN","3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds"
"4732","14q","17q",0,1,NA,"PAEN","8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds"
"4733","1p","1q",0,2,NA,"PAEN","8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44.rds"
"4734","10p","11q",0,7,NA,"PAEN","0e7ac212-0469-4f17-9432-205ab1831257.rds 2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44.rds d404ac28-da11-4746-9c3b-cf0b1888f67b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4735","11p","11q",0.125,8,0.350616662820207,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 3ae3ce4a-54ec-4c3b-83f2-845696ea0fa1.rds 559c30f2-8ae7-43c8-819c-800261065e06.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44.rds d404ac28-da11-4746-9c3b-cf0b1888f67b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4736","10q","11q",0,4,NA,"PAEN","44406493-37f4-48c7-961b-8714be50773a.rds 559c30f2-8ae7-43c8-819c-800261065e06.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4737","1p","11q",0.25,4,0.39100221895577,"PAEN","0e7ac212-0469-4f17-9432-205ab1831257.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44.rds d404ac28-da11-4746-9c3b-cf0b1888f67b.rds"
"4738","1q","11q",0,4,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 559c30f2-8ae7-43c8-819c-800261065e06.rds 8cbd1752-7eea-46d3-8623-09e96dfb1fdf.rds aa215f18-ae1f-4f0e-89dd-ac59ee8c8c44.rds"
"4739","10p","14q",0,3,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4740","11p","14q",0,3,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4741","13whole","14q",0,1,NA,"PAEN","8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds"
"4742","10q","14q",0,1,NA,"PAEN","dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4743","12p","14q",0,3,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4744","12q","14q",0,3,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4745","1q","14q",0,1,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds"
"4746","11q","14q",0,3,NA,"PAEN","2660825c-68f0-4631-948e-6da158edbe9e.rds 8c4ebff2-8318-4046-98f5-da8f6b1a9e3b.rds dc7faf84-4438-447b-abcf-a3af87043654.rds"
"4747","10p","4p",0,7,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4748","19p","4p",0,4,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4749","19q","4p",0,6,NA,"PBCA","27847313-3b1e-47f2-84f1-acadaf265cf3.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds"
"4750","20q","4p",0,6,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4751","21q","4p",0,7,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4752","22q","4p",0,5,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4753","16p","4p",0,4,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds"
"4754","11p","4p",0,8,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4755","13whole","4p",-0.25,4,0.39100221895577,"PBCA","5cbd429f-ffab-41ad-8016-422f1c922e99.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4756","15q","4p",-0.125,8,0.350616662820207,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4757","18p","4p",-0.333333333333333,6,0.174687814264119,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4758","17p","4p",-0.25,4,0.39100221895577,"PBCA","4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4759","20p","4p",-0.166666666666667,6,0.363217467649122,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4760","10q","4p",0,6,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds"
"4761","12p","4p",0,7,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4762","16q","4p",0,5,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4763","1p","4p",0,7,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4764","2q","4p",-0.125,8,0.350616662820207,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 7bd4d5e2-69ee-4264-93e4-2ba01418c460.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4765","3p","4p",-0.1,10,0.343436396137913,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 27847313-3b1e-47f2-84f1-acadaf265cf3.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4766","14whole","4p",-0.2,5,0.373900966300059,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4767","18q","4p",0,8,NA,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 1bea3a72-3b73-4072-a6bb-96a90119d3ac.rds 209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds aed4363b-19b8-4cb5-aa34-a442410d0796.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4768","3q","4p",-0.142857142857143,7,0.355917683749582,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 27847313-3b1e-47f2-84f1-acadaf265cf3.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4769","12q","4p",0,9,NA,"PBCA","1bea3a72-3b73-4072-a6bb-96a90119d3ac.rds 209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4770","2p","4p",-0.111111111111111,9,0.346593507087334,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds 7bd4d5e2-69ee-4264-93e4-2ba01418c460.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4771","17q","4p",-0.166666666666667,6,0.363217467649122,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 868c95ad-45df-4f8e-9553-b7c2c5679deb.rds aa018d90-5250-4313-9f7c-a3f196765e07.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4772","1q","4p",0,7,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 27847313-3b1e-47f2-84f1-acadaf265cf3.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4e361622-f9a8-4e9b-a89e-19bafebe1d6a.rds 4f3c2c94-fa7f-4945-9dff-e4d4dac95f56.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4773","11q","4p",0,6,NA,"PBCA","5cbd429f-ffab-41ad-8016-422f1c922e99.rds 906f6f1e-569d-4ce2-9273-1f305782f77f.rds aa4bf69c-a1a6-48dc-96fc-3fe7d2680517.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds f15989a1-e820-4879-a535-438277acad49.rds"
"4774","4p","5p",0.25,8,0.170470660787054,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 209a9b10-7129-48fe-a899-d14ba17efe6f.rds 27847313-3b1e-47f2-84f1-acadaf265cf3.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4775","10p","5p",0.111111111111111,9,0.346593507087334,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a35b01f-5e19-4673-abea-d87fd1d605d0.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds aca4d810-9540-4ce3-8ceb-72d396c9b704.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds ed46bb2e-97e3-4914-a086-de80e00d6ee8.rds"
"4776","19p","5p",0.166666666666667,6,0.363217467649122,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4777","19q","5p",0,5,NA,"PBCA","27847313-3b1e-47f2-84f1-acadaf265cf3.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds"
"4778","20q","5p",0.166666666666667,6,0.363217467649122,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds aca4d810-9540-4ce3-8ceb-72d396c9b704.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4779","21q","5p",0.125,8,0.350616662820207,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4780","22q","5p",0.142857142857143,7,0.355917683749582,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4781","16p","5p",0,4,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a698352-25e6-4137-bef8-b6520d5b1b95.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds"
"4782","4q","5p",0.125,8,0.350616662820207,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 209a9b10-7129-48fe-a899-d14ba17efe6f.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds a742a46d-2594-4efe-a701-4a2737ffae81.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4783","11p","5p",0.111111111111111,9,0.346593507087334,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a698352-25e6-4137-bef8-b6520d5b1b95.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4784","13whole","5p",0,6,NA,"PBCA","492694a7-bb41-4128-a909-c424e7fc0c9e.rds 4a698352-25e6-4137-bef8-b6520d5b1b95.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4785","15q","5p",0,10,NA,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a698352-25e6-4137-bef8-b6520d5b1b95.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds 7ac3e543-3bc2-4a59-84fc-b5aa0def592c.rds aca4d810-9540-4ce3-8ceb-72d396c9b704.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4786","18p","5p",0,5,NA,"PBCA","19b6b9d6-6912-4b85-a4bf-52014bcb170b.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4787","17p","5p",0,1,NA,"PBCA","d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
"4788","20p","5p",0,6,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds ed46bb2e-97e3-4914-a086-de80e00d6ee8.rds"
"4789","10q","5p",0,12,NA,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a35b01f-5e19-4673-abea-d87fd1d605d0.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5a5a8409-a8f2-4c7b-85e5-b8bd85f2930c.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds 7ac3e543-3bc2-4a59-84fc-b5aa0def592c.rds 8bda75a6-86b9-458e-948b-05049b4c52ce.rds a742a46d-2594-4efe-a701-4a2737ffae81.rds aca4d810-9540-4ce3-8ceb-72d396c9b704.rds ed46bb2e-97e3-4914-a086-de80e00d6ee8.rds"
"4790","12p","5p",0.125,8,0.350616662820207,"PBCA","209a9b10-7129-48fe-a899-d14ba17efe6f.rds 30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 55c75a2a-f3d2-4469-9d23-604cf539d548.rds 5cbd429f-ffab-41ad-8016-422f1c922e99.rds aca4d810-9540-4ce3-8ceb-72d396c9b704.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds e63fac5a-cc48-4ab4-b69d-3f0be6ad684d.rds"
"4791","16q","5p",0.2,5,0.373900966300059,"PBCA","30376989-7edb-4863-9496-1789eccef8c4.rds 3f3aff50-d71b-44af-85d4-f81e813ea420.rds 4a698352-25e6-4137-bef8-b6520d5b1b95.rds 6d2a5ee7-9e46-4c09-a982-7b61b5d9bdea.rds d609ce92-9edd-4286-bd5f-b93304cae9a2.rds"
