"","first_driver","second_driver","score","n_samples","p.value","type","samples"
"73","2p","7p",0,3,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"74","11q","7p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"75","10p","16p",-1,1,NA,"OV","6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"76","14whole","16p",1,1,NA,"OV","25f73b03-4ba8-47ba-ad80-6ccb82105c98.rds"
"77","11q","16p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"78","4p","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"79","15q","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"80","18p","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"81","20p","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"82","18q","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"83","2p","4q",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"84","5p","8p",1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"85","5q","8p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"86","10p","8p",0,1,NA,"OV","1659bae5-3140-4d05-891c-81b48277b2fc.rds"
"87","19q","8p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"88","20q","8p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"89","21q","8p",0,2,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"90","22q","8p",0,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"91","7p","8p",0.333333333333333,3,0.422649730810374,"OV","1659bae5-3140-4d05-891c-81b48277b2fc.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"92","16p","8p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"93","11p","8p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"94","18p","8p",0,2,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"95","17p","8p",0.5,4,0.181690113816209,"OV","6c31d730-1734-44ac-92b3-760981528723.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds 941fcb56-e059-403d-aab1-0692a3ecc45e.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"96","12p","8p",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"97","3p","8p",0,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"98","14whole","8p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"99","18q","8p",0,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"100","2p","8p",0.5,2,0.5,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"101","7q","8p",0,2,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"102","17q","8p",-1,1,NA,"OV","4e913899-eeb8-4630-ba9d-41a81ced8069.rds"
"103","11q","8p",0,1,NA,"OV","bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"104","13q","8p",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"105","5p","9q",1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"106","21q","9q",0,2,NA,"OV","53bcbb68-addd-47fc-9910-cd1d3f38197d.rds 6c31d730-1734-44ac-92b3-760981528723.rds"
"107","8p","9q",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"108","17p","9q",1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"109","9p","9q",1,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"110","13q","9q",0,1,NA,"OV","6c31d730-1734-44ac-92b3-760981528723.rds"
"111","10p","11p",0,1,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds"
"112","10p","18p",-0.5,2,0.5,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 6821446e-8e76-46fe-b0b9-47feb46d2585.rds"
"113","16p","18p",0,3,NA,"OV","42465bbd-289b-4e96-98fe-76809c5e1520.rds 6821446e-8e76-46fe-b0b9-47feb46d2585.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds"
"114","11p","18p",0,4,NA,"OV","123c9d1c-72ba-4d82-8e57-d5caa52a40ba.rds 12874085-a596-41ae-b4cd-817cb1ebb278.rds 37522f18-77b2-4414-8df8-3c2c8048adba.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
"115","15q","18p",0,1,NA,"OV","6ce42746-88aa-485f-a1c4-1759aad95914.rds"
"116","17p","18p",-0.285714285714286,7,0.355917683749582,"OV","42465bbd-289b-4e96-98fe-76809c5e1520.rds 504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds 6821446e-8e76-46fe-b0b9-47feb46d2585.rds 7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds a3135834-3af0-4e98-bc6f-ad8ddf33db80.rds bbb2cf2f-8f32-43d4-846c-d1020e6329ec.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"117","12p","18p",0,2,NA,"OV","504cdfc5-6721-43ef-b31e-fdf52f0cd9cd.rds e45f3391-2e74-4767-817a-280cebac7c57.rds"
"118","14whole","18p",1,1,NA,"OV","7fdd07a4-4a27-40c3-af92-a0074e6391f5.rds"
